Carimbo de data/hora,palindromo_clean_FE,palindromo_clean_NC,palindromo_clean_EE,Calculator_modu_ruim_FE,Calculator_modu_ruim_NC,Calculator_modu_ruim_EE,celcius_bad_names_FE,celcius_bad_names_NC,celcius_bad_names_EE,dry_good_FE,dry_good_NC,dry_good_EE,SumEvenNumbers _kiss_bad_FE,SumEvenNumbers _kiss_bad_NC,SumEvenNumbers _kiss_bad_EE,shape_ocp_good_FE,shape_ocp_good_NC,shape_ocp_good_EE,sum_e_kiss_g_FE,sum_e_kiss_g_NC,sum_e_kiss_g_EE,payment_YAGNI_g_FE,payment_YAGNI_g_NC,payment_YAGNI_g_EE,ocp_bad_shape_FE,ocp_bad_shape_NC,ocp_bad_shape_EE,var_name_bad_FE,var_name_bad_NC,var_name_bad_EE,DRY_bad_FE,DRY_bad_NC,DRY_bad_EE,MODULAR_cal_good_FE,MODULAR_cal_good_NC,MODULAR_cal_good_EE,srp_good_FE,srp_good_NC,srp_good_EE,celcius_good_names_FE,celcius_good_names_NC,celcius_good_names_EE,SRP_bad_FE,SRP_bad_NC,SRP_bad_EE,YAGNI_bad_FE,YAGNI_bad_NC,YAGNI_bad_EE,  Como você avalia o seu nível de experiência em programação?  ,Quais linguagens de programação você tem familiaridade,"  Qual é o seu nível de familiaridade com boas práticas de programação (por exemplo, clean code, padrões de projeto)?  ",  Qual sua situação Profissional/Acadêmica  ,  Com que frequência você trabalha em equipe em projetos de programação?  ,  Qual é o seu nível de escolaridade na área de TI  ,  Com que frequência você participa de revisões de código (code reviews)  
06/08/2025 07:31:09,1,1,0,2,2,0,2,2,1,1,2,0,1,1,0,2,1,-1,0,1,1,2,1,-1,2,1,0,0,1,0,1,1,0,2,1,1,1,0,0,2,2,0,1,1,-1,2,2,0.0,Avançado,"Python, JavaScript, Java, TypeScript",Boa familiaridade,Profissional da área de TI,Sempre,Graduação completa,Às vezes
06/08/2025 07:41:28,0,1,1,1,2,-1,1,2,-1,1,1,-1,1,1,0,1,1,1,1,-1,1,2,2,-2,1,-1,-2,-1,-1,-2,1,0,-2,1,1,0,0,-1,0,2,2,1,1,1,0,1,1,-1.0,Avançado,"Java, C++, TypeScript",Boa familiaridade,Profissional de outra área,Sempre,Pós-graduação,Raramente
06/08/2025 07:48:59,1,2,0,2,2,-1,2,2,0,2,2,2,0,1,0,1,0,-1,1,2,0,1,1,-2,0,0,0,1,1,-1,0,0,0,1,1,1,0,0,0,2,1,0,-1,0,-1,1,1,-1.0,Intermediário,"Python, JavaScript, Java, TypeScript",Boa familiaridade,Profissional da área de TI,Sempre,Graduação completa,Às vezes
06/08/2025 08:00:41,1,1,0,2,2,-1,0,1,0,1,0,-1,1,1,0,1,1,2,0,0,1,2,2,2,-1,-1,1,-2,-1,1,2,2,-1,1,2,1,-1,0,1,1,1,0,0,0,0,1,2,0.0,Avançado,"Python, JavaScript, Java, TypeScript, Go, Ruby",Boa familiaridade,Profissional da área de TI,Sempre,Graduação completa,Raramente
06/08/2025 08:20:58,2,2,2,2,2,1,2,2,1,2,2,-1,2,2,1,2,1,0,0,1,1,2,2,2,2,1,2,-1,0,-1,1,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1.0,Avançado,"Python, JavaScript, Java, C++",Boa familiaridade,Profissional da área de TI,Sempre,Pós-graduação,Nunca
06/08/2025 08:28:05,1,2,2,2,2,-1,1,2,1,2,2,-1,2,2,1,2,2,2,2,2,2,2,2,0,2,2,0,-1,2,1,2,2,-1,2,2,1,2,2,0,2,2,2,2,2,1,1,1,0.0,Avançado,"Python, Java, C, Matlab",Alguma familiaridade,Profissional da área de TI,Frequentemente,Graduação completa,Raramente
06/08/2025 08:40:48,-1,1,-1,1,1,-1,1,2,0,-1,-1,-2,-1,-2,-2,-2,-1,-2,-1,0,-1,0,1,-2,-1,1,-1,-2,-2,-2,0,-1,-2,-1,-2,-1,0,-1,-2,0,1,-1,-1,0,-2,-2,0,-1.0,Avançado,"Python, JavaScript, Java, TypeScript, PHP, C",Boa familiaridade,Profissional de outra área,Sempre,Pós-graduação,Sempre
06/08/2025 08:41:38,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,1,0,2,2,0,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1.0,Avançado,"Python, JavaScript, Java, TypeScript, PHP, Dart",Alguma familiaridade,Profissional da área de TI,Sempre,Graduação completa,Raramente
06/08/2025 09:42:28,2,1,1,2,1,1,0,1,-1,2,2,0,1,1,0,2,2,1,0,1,2,2,2,0,1,1,-1,-1,1,-1,2,2,-1,2,1,1,2,2,1,2,2,1,1,1,0,1,1,-1.0,Avançado,"Python, JavaScript, Java, TypeScript, Kotlin, Matlab, Octave",Muita familiaridade,"Estudante, Profissional da área de TI",Sempre,Graduação em andamento,Frequentemente
06/08/2025 09:51:13,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,0,1,1,2,2,1,1,2,0,1,1,-1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,1.0,Avançado,"Python, Java, C++, C#, C",Alguma familiaridade,"Estudante, Profissional da área de TI",Frequentemente,Graduação completa,Às vezes
06/08/2025 14:18:48,2,1,1,2,2,-1,2,2,-1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,0,-1,-1,-2,1,1,-1,1,-1,-1,1,1,0,1,2,2,2,2,2,2,-1,-1,-2,-2,-2.0,Iniciante,"JavaScript, Java, TypeScript",Alguma familiaridade,"Estudante, Profissional da área de TI",Às vezes,Graduação em andamento,Raramente
06/08/2025 15:07:16,1,2,0,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2.0,Intermediário,"Python, JavaScript",Alguma familiaridade,Estudante,Às vezes,Nenhuma formação na área,Nunca
07/08/2025 18:47:48,2,2,2,2,2,0,-1,1,0,2,2,2,1,1,-1,2,1,1,1,2,2,1,0,1,0,-1,-1,-1,-1,0,0,0,-1,2,2,2,2,1,1,2,2,2,2,1,1,1,0,1.0,Avançado,"Python, JavaScript, Java, C++, TypeScript, Go, C",Boa familiaridade,"Estudante, Profissional da área de TI",Frequentemente,Graduação em andamento,Às vezes
08/08/2025 11:00:15,-1,1,0,2,2,1,2,2,2,1,2,-1,2,2,1,1,2,-1,-1,1,1,1,2,0,0,1,-1,-1,0,-1,1,1,0,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2.0,Intermediário,"Python, JavaScript, TypeScript, C",Alguma familiaridade,Estudante,Às vezes,Graduação em andamento,Nunca
09/08/2025 12:42:13,1,1,0,2,2,2,2,1,2,2,0,1,0,2,-1,2,2,2,1,2,1,1,2,1,1,-1,-2,-1,-1,0,0,-2,-2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1.0,Intermediário,"Python, JavaScript, Java, TypeScript, C",Boa familiaridade,Estudante,Frequentemente,Graduação em andamento,Raramente
13/08/2025 02:36:58,2,1,2,2,1,2,2,1,-1,2,1,2,2,1,0,1,1,1,1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,2,0,2,1,1,1,2,1,2,2,1,-1,-2,0,0,-1.0,Intermediário,"Python, Java, WASL, Groovy",Alguma familiaridade,Estudante,Sempre,Graduação completa,Raramente
